ticker,asof,close,score,grade,technical_score,technical_grade,timing_score,timing_grade,risk_score,risk_level,confluence_score,chase_risk,relative_strength_score,relative_strength_grade,leader_score,relative_strength_weight,action,market_regime,stop_price,trailing_stop,bullish_signals,bearish_signals,top_strengths,top_risks,name,market,market_cap,trading_value,volume_universe,source_rank,data_ticker
011200,2026-08-21,21600.0,79.83,A,85.0,A+,73.5,A,18.0,낮음,74.0,낮음,97.79,A+,84.32,0.25,좋은 종목 · 관심 진입,range,19872.0,19932.0,4,0,고점 상승(Higher High) | 저점 상승(Higher Low) | 최근 저항선 돌파,,HMM,KOSPI,190062.0,51993.0,2604432.0,42,011200
055550,2026-08-21,104100.0,82.23,A+,91.0,A+,71.5,B,13.0,낮음,75.5,낮음,84.88,A+,82.89,0.25,좋은 종목 · 관심 진입,range,95772.0,96800.0,4,0,일봉 이동평균선 정배열 | 주봉 정배열로 장기 추세 확인 | 고점 상승(Higher High),,신한지주,KOSPI,478926.0,190397.0,1886593.0,18,055550
021240,2026-08-21,95900.0,77.68,A,86.0,A+,67.5,B,19.0,낮음,74.5,낮음,87.59,A+,80.16,0.25,좋은 종목 · 관심 진입,range,88228.0,86416.0,5,0,일봉 이동평균선 정배열 | 고점 상승(Higher High) | 저점 상승(Higher Low),일봉과 주봉 배열 불일치 | 일봉/주봉 불일치,코웨이,KOSPI,61851.0,38687.0,441067.0,95,021240
086790,2026-08-21,128800.0,76.8,A,79.5,A,73.5,A,10.0,낮음,74.5,낮음,82.68,A+,78.27,0.25,좋은 종목 · 관심 진입,range,118496.0,120384.0,4,0,일봉 이동평균선 정배열 | 주봉 정배열로 장기 추세 확인 | 최근 저항선 돌파,고점 하락(Lower High) | 쌍봉/더블탑 경계,하나금융지주,KOSPI,338844.0,126299.0,1023314.0,27,086790
090430,2026-08-21,138000.0,69.18,B,73.0,A,64.5,B,18.0,낮음,63.5,낮음,100.0,A+,76.89,0.25,좋은 종목 · 관심 진입,range,126960.0,124784.0,4,0,고점 상승(Higher High) | 저점 상승(Higher Low) | 주요 지지선 2.5% 이내,,아모레퍼시픽,KOSPI,61183.0,34449.0,332061.0,96,090430
078930,2026-08-21,116200.0,68.43,B,88.0,A+,44.5,D,25.0,낮음,66.5,보통,100.0,A+,76.32,0.25,관심 종목 · 타이밍 확인 대기,range,92960.0,105336.0,4,0,일봉 이동평균선 정배열 | 주봉 정배열로 장기 추세 확인 | 고점 상승(Higher High),20일선 과도 이격으로 추격 위험 | 20일선 과도 이격,GS,KOSPI,65027.0,26365.0,380845.0,92,078930
068270,2026-08-21,192300.0,69.1,B,65.5,B,73.5,A,24.0,낮음,64.5,낮음,92.65,A+,74.99,0.25,구조 개선 중 · 소액 정찰 가능,range,176916.0,185240.0,4,0,주봉 정배열로 장기 추세 확인 | 돌파 저항이 지지로 전환 | 쌍바닥/W 구조,일봉과 주봉 배열 불일치 | 저점 하락(Lower Low) | 쌍봉/더블탑 경계,셀트리온,KOSPI,377442.0,192902.0,1136023.0,23,068270
000810,2026-08-21,661000.0,65.4,B,64.5,B,66.5,B,24.0,낮음,62.0,낮음,100.0,A+,74.05,0.25,관심 종목 · 타이밍 확인 대기,range,608120.0,642400.0,3,2,주봉 정배열로 장기 추세 확인 | 고점 상승(Higher High) | 최근 저항선 돌파,일봉과 주봉 배열 불일치 | 저점 하락(Lower Low) | 쌍봉/더블탑 경계,삼성화재,KOSPI,312532.0,157180.0,223971.0,28,000810
010950,2026-08-21,141100.0,68.48,B,84.0,A+,49.5,D,21.0,낮음,60.0,낮음,90.7,A+,74.03,0.25,관심 종목 · 타이밍 확인 대기,range,119152.1667,135168.0,3,1,일봉 이동평균선 정배열 | 주봉 정배열로 장기 추세 확인 | 고점 상승(Higher High),고점권 긴 위꼬리 | 3연속 음봉,S-Oil,KOSPI,118550.0,37455.0,359927.0,62,010950
207940,2026-08-21,1551000.0,65.12,B,73.0,A,55.5,C,18.0,낮음,59.0,낮음,100.0,A+,73.84,0.25,좋은 종목 · 저항 돌파 확인 대기,range,1426920.0,1415920.0,3,0,고점 상승(Higher High) | 저점 상승(Higher Low) | 주요 지지선 근접,바로 위 강한 저항 접근,삼성바이오로직스,KOSPI,636038.0,133512.0,96783.0,11,207940
