theme,event_types,keywords,strong_keywords,weak_keywords,confidence,min_materiality,enabled
AI,AI|GOV_POLICY,AI|인공지능|생성형 AI|초거대 AI|AI 산업|AI 투자,GPU|HBM|AI 반도체|NPU|AI 데이터센터|데이터센터|컴퓨팅 인프라|AI 인프라|설비투자|대규모 투자|국가 GPU|AI 서버,회의|간담회|포럼|교육|아카데미|경진대회|공모전|인재양성|행사|세미나|아이디어 모집|성과공유|데이터 개방,0.82,70,1
AI반도체,AI|SEMICONDUCTOR|GOV_POLICY,AI 반도체|HBM|고대역폭메모리|NPU|AI 칩,HBM|고대역폭메모리|NPU|AI 칩|GPU|반도체 투자|반도체 공장|설비투자,포럼|세미나|교육|회의|간담회,0.90,70,1
데이터센터,AI_DATACENTER|AI|GOV_POLICY,데이터센터|데이터 센터|AI 데이터센터|GPU 센터,AI 데이터센터|GPU 센터|데이터센터 건설|데이터센터 투자|전력 인프라|컴퓨팅센터,회의|간담회|포럼|교육|행사,0.90,70,1
자율주행,GOV_POLICY|PRODUCT,자율주행|ADAS|로보택시|무인차|자율주행차,상용화|양산|수주|공급계약|투자|생산|실증사업,포럼|회의|세미나|교육|행사,0.88,70,1
양자기술,GOV_POLICY|RND,양자기술|양자컴퓨터|양자 컴퓨터|양자암호|양자통신,양자컴퓨터 구축|양자암호망|양자통신망|투자|수주|사업자 선정,포럼|회의|세미나|교육|행사|기념식,0.90,70,1
탄소중립,GOV_POLICY|REGULATION,탄소중립|온실가스|배출권|넷제로|탈탄소,배출권 제도|규제 시행|탄소 감축 투자|설비투자|지원사업,포럼|회의|세미나|캠페인|행사,0.86,70,1
해상풍력,GOV_POLICY|INVESTMENT|CAPEX,해상풍력|해상 풍력|풍력발전|풍력 발전,계획입지|보급계획|사업자 선정|착공|건설|투자|설비|예비지구,포럼|회의|세미나|교육|행사,0.95,70,1
원전,NUCLEAR|GOV_POLICY|INVESTMENT|CAPEX,원전|원자력|SMR|소형모듈원자로|원전 수출,원전 수주|원전 건설|신규원전|SMR 사업|수출계약|원전 예산|원전 프로젝트|원전 설비|원전 기자재,IAEA 참석|출범식|포럼|회의|세미나|교육|교류|기념식,0.95,70,1
저출산,GOV_POLICY,저출산|출산율|출산 대책|육아 지원|보육 지원|난임,지원 확대|예산|수당|보조금|정책 시행,포럼|회의|세미나|캠페인|행사,0.88,70,1
우크라이나재건,GOV_POLICY|PARTNERSHIP,우크라이나 재건|우크라이나 복구|전후 복구|전후 재건,재건 사업|복구 사업|수주|계약|투자|차관,포럼|회의|세미나|방문|행사,0.90,70,1
방산,DEFENSE|GOV_POLICY|ORDER_CONTRACT,방산|방위산업|무기 수출|방산 수출|국방 수출,수출계약|수주|양산|납품|생산|증설|국방 예산,전시회|포럼|회의|세미나|행사,0.92,70,1
로봇,GOV_POLICY|PRODUCT|INVESTMENT,로봇 산업|휴머노이드|산업용 로봇|서비스 로봇|로봇 투자,양산|수주|공급계약|투자|생산시설|상용화,경진대회|포럼|회의|세미나|교육|행사,0.88,70,1
바이오,BIO|CLINICAL|APPROVAL|GOV_POLICY,바이오|신약|임상 승인|임상시험|의약품,임상 승인|임상 2상|임상 3상|품목허가|기술수출|계약|생산시설,포럼|회의|세미나|교육|행사,0.84,70,1
태양광,GOV_POLICY|INVESTMENT|CAPEX,태양광|태양전지|태양광 발전|태양광 모듈,공장 건설|증설|설비투자|보조금|세액공제|수주|공급계약,포럼|회의|세미나|행사,0.90,70,1
수소,GOV_POLICY|INVESTMENT|CAPEX,수소경제|청정수소|그린수소|수소차|수소 발전,수소 플랜트|생산시설|설비투자|수주|공급계약|지원사업,포럼|회의|세미나|교육|행사,0.88,70,1
전기차,GOV_POLICY|PRODUCT|REGULATION,전기차|전기자동차|EV 배터리|충전 인프라|전기차 충전,공장|증설|보조금|충전 인프라 구축|수주|공급계약|양산,포럼|회의|세미나|행사,0.86,70,1
이차전지,SECONDARY_BATTERY|GOV_POLICY|INVESTMENT,이차전지|2차전지|배터리 삼각벨트|양극재|음극재|전고체,공장|증설|양극재 수주|음극재 수주|전고체 양산|투자|생산시설,포럼|회의|세미나|교육|행사,0.90,70,1
반도체,SEMICONDUCTOR|GOV_POLICY|INVESTMENT|CAPEX,반도체|파운드리|DRAM|낸드|첨단반도체,반도체 공장|팹 건설|설비투자|증설|생산|수주|공급계약|보조금|세액공제,포럼|회의|세미나|교육|행사,0.88,70,1
